ID,Name,Sex,Age,Height,Weight,IMC,Team,NOC,Year,Season,City,City_in_Country,Sport,Event,Medal,proba_No,proba_Yes,prediction
,Mélody Julien,F,25,168,49.0,17.36,France,FRA,2024,Summer,Paris,True,Athletics,Marathon,,0.5692851767086935,0.43071482329130617,No
,Mekdes Woldu,F,31,164,43.0,15.99,France,FRA,2024,Summer,Paris,True,Athletics,Marathon,,0.5675634819032133,0.43243651809678646,No
,Méline Rollin,F,25,169,51.0,17.86,France,FRA,2024,Summer,Paris,True,Athletics,Marathon,,0.5635711810522444,0.4364288189477556,No
,Manon Trapp,F,23,160,49.0,19.14,France,FRA,2024,Summer,Paris,True,Athletics,Marathon,,0.5675393623463588,0.43246063765364073,No
,Mathilde Gros,F,25,175,73.0,23.84,France,FRA,2024,Summer,Paris,True,Cycling,Sprint,,0.48707818778129186,0.512921812218708,No
,Mathilde Gros,F,25,175,73.0,23.84,France,FRA,2024,Summer,Paris,True,Cycling,Keirin,,0.44149964675289577,0.5585003532471046,No
,Marie-Divine Kouamé,F,21,177,76.0,24.26,France,FRA,2024,Summer,Paris,True,Cycling,Sprint,,0.47814455807813727,0.5218554419218626,No
,Marie-Divine Kouamé,F,21,177,76.0,24.26,France,FRA,2024,Summer,Paris,True,Cycling,Keirin,,0.4579832209563857,0.5420167790436143,No
,Rayan Hélal,M,25,181,92.0,28.08,France,FRA,2024,Summer,Paris,True,Cycling,Keirin,,0.39230129510349127,0.6076987048965083,Yes
,Juliette Labous,F,25,165,54.0,19.83,France,FRA,2024,Summer,Paris,True,Cycling,"Road Race, Individual",,0.5973923254159953,0.4026076745840044,No
,Juliette Labous,F,25,165,54.0,19.83,France,FRA,2024,Summer,Paris,True,Cycling,Individual Time Trial,,0.4958671845382014,0.5041328154617986,No
,Audrey Cordon-Ragot,F,34,170,60.0,20.76,France,FRA,2024,Summer,Paris,True,Cycling,"Road Race, Individual",,0.6205264325140035,0.3794735674859964,No
,Audrey Cordon-Ragot,F,34,170,60.0,20.76,France,FRA,2024,Summer,Paris,True,Cycling,Individual Time Trial,,0.5071056374269812,0.4928943625730187,No
,Victoire Berteau,F,23,165,57.0,20.94,France,FRA,2024,Summer,Paris,True,Cycling,"Road Race, Individual",,0.6018345493205314,0.3981654506794684,No
,Pauline Ferrand-Prévôt,F,32,165,52.0,19.1,France,FRA,2024,Summer,Paris,True,Cycling,"Mountainbike, Cross-Country",,0.5230449465865543,0.47695505341344585,No
,Loana Lecomte,F,24,162,52.0,19.81,France,FRA,2024,Summer,Paris,True,Cycling,"Mountainbike, Cross-Country",,0.5120324821095507,0.4879675178904494,No
,Victor Koretzky,M,29,180,69.0,21.3,France,FRA,2024,Summer,Paris,True,Cycling,"Mountainbike, Cross-Country",,0.483163739795093,0.516836260204907,No
