ID;Name;Sex;Age;Height;Weight;IMC;Team;NOC;Year;Season;City;City_in_Country;Sport;Event;Medal
F1;Mélody Julien;F;25;168;49;17,36;France;FRA;2024;Summer;Paris;True;Athletics;Marathon;
F2;Mekdes Woldu;F;31;164;43;15,99;France;FRA;2024;Summer;Paris;True;Athletics;Marathon;
F3;Méline Rollin;F;25;169;51;17,86;France;FRA;2024;Summer;Paris;True;Athletics;Marathon;
F4;Manon Trapp;F;23;160;49;19,14;France;FRA;2024;Summer;Paris;True;Athletics;Marathon;
F5;Mathilde Gros;F;25;175;73;23,84;France;FRA;2024;Summer;Paris;True;Cycling;Sprint;
F5;Mathilde Gros;F;25;175;73;23,84;France;FRA;2024;Summer;Paris;True;Cycling;Keirin;
F6;Marie-Divine Kouamé;F;21;177;76;24,26;France;FRA;2024;Summer;Paris;True;Cycling;Sprint;
F6;Marie-Divine Kouamé;F;21;177;76;24,26;France;FRA;2024;Summer;Paris;True;Cycling;Keirin;
F7;Rayan Hélal;M;25;181;92;28,08;France;FRA;2024;Summer;Paris;True;Cycling;Keirin;
F8;Juliette Labous;F;25;165;54;19,83;France;FRA;2024;Summer;Paris;True;Cycling;Road Race, Individual;
F8;Juliette Labous;F;25;165;54;19,83;France;FRA;2024;Summer;Paris;True;Cycling;Individual Time Trial;
F9;Audrey Cordon-Ragot;F;34;170;60;20,76;France;FRA;2024;Summer;Paris;True;Cycling;Road Race, Individual;
F9;Audrey Cordon-Ragot;F;34;170;60;20,76;France;FRA;2024;Summer;Paris;True;Cycling;Individual Time Trial;
F10;Victoire Berteau;F;23;165;57;20,94;France;FRA;2024;Summer;Paris;True;Cycling;Road Race, Individual;
F11;Pauline Ferrand-Prévôt;F;32;165;52;19,1;France;FRA;2024;Summer;Paris;True;Cycling;Mountainbike, Cross-Country;
F12;Loana Lecomte;F;24;162;52;19,81;France;FRA;2024;Summer;Paris;True;Cycling;Mountainbike, Cross-Country;
F13;Victor Koretzky;M;29;180;69;21,3;France;FRA;2024;Summer;Paris;True;Cycling;Mountainbike, Cross-Country;
F14;Jordan Sarrou;M;31;180;67;20,68;France;FRA;2024;Summer;Paris;True;Cycling;Mountainbike, Cross-Country;
F15;Dorian Coninx;M;30;181;70;21,37;France;FRA;2024;Summer;Paris;True;Triathlon;Olympic Distance;
F16;Pierre Le Corre;M;34;177;67;21,39;France;FRA;2024;Summer;Paris;True;Triathlon;Olympic Distance;
