ID,Name,Sex,Age,Height,Weight,IMC,Team,NOC,Year,Season,City,Sport,Event,Medal
63,Jos Luis Abajo Gmez,M,30,194,87.0,23.12,Spain,ESP,2008,Summer,Beijing,Fencing,"epee, Individual",Bronze
65,Patimat Abakarova,F,21,165,49.0,18.0,Azerbaijan,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Flyweight,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80.0,24.97,Russia,RUS,2008,Summer,Beijing,Athletics,Javelin Throw,Silver
84,Stephen Anthony Abas,M,26,165,55.0,20.2,United States,USA,2004,Summer,Athina,Wrestling,"Featherweight, Freestyle",Silver
86,Jos Manuel Abascal Gmez,M,26,182,67.0,20.23,Spain,ESP,1984,Summer,Los Angeles,Athletics,"1,500 metres",Bronze
90,Tamila Rashidovna Abasova,F,21,163,60.0,22.58,Russia,RUS,2004,Summer,Athina,Cycling,Sprint,Silver
165,Nia Nicole Abdallah,F,20,175,56.0,18.29,United States,USA,2004,Summer,Athina,Taekwondo,Featherweight,Silver
250,Saeid Morad Abdevali,M,26,170,80.0,27.68,Iran,IRI,2016,Summer,Rio de Janeiro,Wrestling,"Middleweight, Greco-Roman",Bronze
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62.0,24.22,Soviet Union,URS,1972,Summer,Munich,Wrestling,"Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,M,26,169,63.0,22.06,Uzbekistan,UZB,2000,Summer,Sydney,Boxing,Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,M,29,167,55.0,19.72,Azerbaijan,AZE,2000,Summer,Sydney,Wrestling,"Bantamweight, Freestyle",Gold
339,Namiq Yadulla Abdullayev,M,25,167,55.0,19.72,Azerbaijan,AZE,1996,Summer,Atlanta,Wrestling,"Flyweight, Freestyle",Silver
357,Yusup Abdusalomov,M,30,170,84.0,29.07,Tajikistan,TJK,2008,Summer,Beijing,Wrestling,"Light-Heavyweight, Freestyle",Silver
359,Andrey Khakimovich Abduvaliyev,M,26,190,125.0,34.63,Unified Team,EUN,1992,Summer,Barcelona,Athletics,Hammer Throw,Gold
379,Addis Abebe,M,21,160,50.0,19.53,Ethiopia,ETH,1992,Summer,Barcelona,Athletics,"10,000 metres",Bronze
411,Gezahgne Abera,M,22,166,58.0,21.05,Ethiopia,ETH,2000,Summer,Sydney,Athletics,Marathon,Gold
428,Elvan Abeylegesse,F,25,159,40.0,15.82,Turkey,TUR,2008,Summer,Beijing,Athletics,"5,000 metres",Silver
443,Ismail Abilov (-Nizamolu),M,29,172,82.0,27.72,Bulgaria,BUL,1980,Summer,Moskva,Wrestling,"Middleweight, Freestyle",Gold
455,Denis Mikhaylovich Ablyazin,M,19,161,62.0,23.92,Russia,RUS,2012,Summer,London,Gymnastics,Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62.0,23.92,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62.0,23.92,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Rings,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,161,62.0,23.92,Russia,RUS,2012,Summer,London,Gymnastics,Floor Exercise,Bronze
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87.0,24.62,Egypt,EGY,2012,Summer,London,Fencing,"Foil, Individual",Silver
514,Ara Abrahamian,M,29,191,84.0,23.03,Sweden,SWE,2004,Summer,Athina,Wrestling,"Light-Heavyweight, Greco-Roman",Silver
582,Saypulla Atavovich Absaidov,M,22,168,68.0,24.09,Soviet Union,URS,1980,Summer,Moskva,Wrestling,"Lightweight, Freestyle",Gold
583,Julien Absalon,M,23,180,68.0,20.99,France,FRA,2004,Summer,Athina,Cycling,"Mountainbike, Cross-Country",Gold
583,Julien Absalon,M,27,180,68.0,20.99,France,FRA,2008,Summer,Beijing,Cycling,"Mountainbike, Cross-Country",Gold
608,Ahmad Abughaush,M,20,178,68.0,21.46,Jordan,JOR,2016,Summer,Rio de Janeiro,Taekwondo,Featherweight,Gold
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62.0,21.45,Soviet Union,URS,1980,Summer,Moskva,Wrestling,"Featherweight, Freestyle",Gold
646,Anibl Santiago Acevedo,M,21,176,67.0,21.63,Puerto Rico,PUR,1992,Summer,Barcelona,Boxing,Welterweight,Bronze
654,Daniel Aceves Villagrn,M,19,158,52.0,20.83,Mexico,MEX,1984,Summer,Los Angeles,Wrestling,"Flyweight, Greco-Roman",Silver
673,Abdel Hak Achik,M,29,165,54.0,19.83,Morocco,MAR,1988,Summer,Seoul,Boxing,Featherweight,Bronze
674,Mohamed Abdelhak Achik,M,27,174,57.0,18.83,Morocco,MAR,1992,Summer,Barcelona,Boxing,Bantamweight,Bronze
723,Osmay Acosta Duarte,M,23,188,91.0,25.75,Cuba,CUB,2008,Summer,Beijing,Boxing,Heavyweight,Bronze
745,Kazimierz Piotr Adach,M,23,162,60.0,22.86,Poland,POL,1980,Summer,Moskva,Boxing,Lightweight,Bronze
830,Adrian Neil Adams,M,21,178,78.0,24.62,Great Britain,GBR,1980,Summer,Moskva,Judo,Lightweight,Silver
830,Adrian Neil Adams,M,25,178,78.0,24.62,Great Britain,GBR,1984,Summer,Los Angeles,Judo,Half-Middleweight,Silver
832,Nicola Virginia Adams,F,29,164,51.0,18.96,Great Britain,GBR,2012,Summer,London,Boxing,Flyweight,Gold
832,Nicola Virginia Adams,F,33,164,51.0,18.96,Great Britain,GBR,2016,Summer,Rio de Janeiro,Boxing,Flyweight,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120.0,32.22,New Zealand,NZL,2016,Summer,Rio de Janeiro,Athletics,Shot Put,Silver
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120.0,32.22,New Zealand,NZL,2008,Summer,Beijing,Athletics,Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120.0,32.22,New Zealand,NZL,2012,Summer,London,Athletics,Shot Put,Gold
851,Jerzy Adamski,M,23,171,58.0,19.84,Poland,POL,1960,Summer,Roma,Boxing,Featherweight,Silver
963,Derrick Ralph Adkins,M,26,188,80.0,22.63,United States,USA,1996,Summer,Atlanta,Athletics,400 metres Hurdles,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70.0,21.85,Great Britain,GBR,2008,Summer,Beijing,Swimming,400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70.0,21.85,Great Britain,GBR,2008,Summer,Beijing,Swimming,800 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,23,179,70.0,21.85,Great Britain,GBR,2012,Summer,London,Swimming,400 metres Freestyle,Bronze
980,"Rebecca ""Becky"" Adlington",F,23,179,70.0,21.85,Great Britain,GBR,2012,Summer,London,Swimming,800 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100.0,25.51,United States,USA,2016,Summer,Rio de Janeiro,Swimming,100 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,23,198,100.0,25.51,United States,USA,2012,Summer,London,Swimming,100 metres Freestyle,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100.0,25.51,United States,USA,2016,Summer,Rio de Janeiro,Swimming,50 metres Freestyle,Bronze
1109,Lavinia Agache (-Carney),F,16,148,40.0,18.26,Romania,ROU,1984,Summer,Los Angeles,Gymnastics,Horse Vault,Bronze
1122,Andre Kirk Agassi,M,26,180,80.0,24.69,United States,USA,1996,Summer,Atlanta,Tennis,Singles,Gold
1131,Clarisse Agbegnenou,F,23,164,66.0,24.54,France,FRA,2016,Summer,Rio de Janeiro,Judo,Half-Middleweight,Silver
1173,Yannick Agnel,M,20,202,90.0,22.06,France,FRA,2012,Summer,London,Swimming,200 metres Freestyle,Gold
1249,Jos Aguilar Pulsn,M,20,173,64.0,21.38,Cuba,CUB,1980,Summer,Moskva,Boxing,Light-Welterweight,Bronze
1301,Sri Wahyuni Agustiani,F,21,147,47.0,21.75,Indonesia,INA,2016,Summer,Rio de Janeiro,Weightlifting,Flyweight,Silver
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52.0,17.58,United States,USA,1992,Summer,Barcelona,Swimming,100 metres Butterfly,Silver
1447,Marlene Ahrens Ostertag (-Ebensperger),F,23,176,70.0,22.6,Chile,CHI,1956,Summer,Melbourne,Athletics,Javelin Throw,Silver
1481,Hannes Aigner,M,23,183,75.0,22.4,Germany,GER,2012,Summer,London,Canoeing,"Kayak Singles, Slalom",Bronze
1483,Nobuyuki Aihara,M,25,154,53.0,22.35,Japan,JPN,1960,Summer,Roma,Gymnastics,Floor Exercise,Gold
1483,Nobuyuki Aihara,M,21,154,53.0,22.35,Japan,JPN,1956,Summer,Melbourne,Gymnastics,Floor Exercise,Silver
1498,"Charles Benedict ""Ben"" Ainslie",M,27,183,90.0,26.87,Great Britain,GBR,2004,Summer,Athina,Sailing,One Person Dinghy,Gold
1534,Brett Aitken,M,29,173,65.0,21.72,Australia,AUS,2000,Summer,Sydney,Cycling,Madison,Gold
1540,Artur Surenovych Aivazian,M,35,177,88.0,28.09,Ukraine,UKR,2008,Summer,Beijing,Shooting,"Small-Bore Rifle, Prone, 50 metres",Gold
1564,Chioma Ajunwa (-Opara),F,24,164,57.0,21.19,Nigeria,NGR,1996,Summer,Atlanta,Athletics,Long Jump,Gold
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,33,185,81.0,23.67,Great Britain,GBR,1992,Summer,Barcelona,Athletics,400 metres Hurdles,Bronze
1574,Kosei Akaishi,M,19,172,74.0,25.01,Japan,JPN,1984,Summer,Los Angeles,Wrestling,"Featherweight, Freestyle",Silver
1574,Kosei Akaishi,M,27,172,74.0,25.01,Japan,JPN,1992,Summer,Barcelona,Wrestling,"Lightweight, Freestyle",Bronze
1601,Vehbi Akda,M,23,168,62.0,21.97,Turkey,TUR,1972,Summer,Munich,Wrestling,"Featherweight, Freestyle",Silver
1634,Taha Akgl,M,25,192,125.0,33.91,Turkey,TUR,2016,Summer,Rio de Janeiro,Wrestling,"Super-Heavyweight, Freestyle",Gold
1647,Murodzhon Kakharovich Akhmadaliyev,M,21,165,56.0,20.57,Uzbekistan,UZB,2016,Summer,Rio de Janeiro,Boxing,Bantamweight,Bronze
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190,120.0,33.24,Russia,RUS,2008,Summer,Beijing,Wrestling,"Super-Heavyweight, Freestyle",Silver
1652,Lyutvi Dzhiber Akhmedov,M,34,184,87.0,25.7,Bulgaria,BUL,1964,Summer,Tokyo,Wrestling,"Heavyweight, Freestyle",Silver
1673,John Akii-Bua,M,22,188,77.0,21.79,Uganda,UGA,1972,Summer,Munich,Athletics,400 metres Hurdles,Gold
1698,Khadzhimurat Magomedovich Akkayev,M,23,178,105.0,33.14,Russia,RUS,2008,Summer,Beijing,Weightlifting,Middle-Heavyweight,Bronze
1698,Khadzhimurat Magomedovich Akkayev,M,19,178,105.0,33.14,Russia,RUS,2004,Summer,Athina,Weightlifting,Middle-Heavyweight,Silver
1762,Naser Al Shami,M,22,187,81.0,23.16,Syria,SYR,2004,Summer,Athina,Boxing,Heavyweight,Bronze
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,41,178,82.0,25.88,Qatar,QAT,2012,Summer,London,Shooting,Skeet,Bronze
1858,Fehaid Al-Deehani,M,33,178,95.0,29.98,Kuwait,KUW,2000,Summer,Sydney,Shooting,Double Trap,Bronze
1858,Fehaid Al-Deehani,M,45,178,95.0,29.98,Kuwait,KUW,2012,Summer,London,Shooting,Trap,Bronze
1858,Fehaid Al-Deehani,M,49,178,95.0,29.98,Individual Olympic Athletes,IOA,2016,Summer,Rio de Janeiro,Shooting,Double Trap,Gold
2025,Ahmed bin Hasher Al-Maktoum,M,40,175,67.0,21.88,United Arab Emirates,UAE,2004,Summer,Athina,Shooting,Double Trap,Gold
2112,Abdullah Al-Rashidi,M,52,183,83.0,24.78,Individual Olympic Athletes,IOA,2016,Summer,Rio de Janeiro,Shooting,Skeet,Bronze
2170,Hadi Soua'an Al-Somaily Jaadan,M,23,191,72.0,19.74,Saudi Arabia,KSA,2000,Summer,Sydney,Athletics,400 metres Hurdles,Silver
2210,Marina Alabau Neira,F,26,164,55.0,20.45,Spain,ESP,2012,Summer,London,Sailing,Windsurfer,Gold
2225,Arsen Shakhlamazovich Alakhverdiyev,M,23,154,52.0,21.93,Soviet Union,URS,1972,Summer,Munich,Wrestling,"Flyweight, Freestyle",Silver
2306,Ruslan Vladimirovich Albegov,M,24,192,156.0,42.32,Russia,RUS,2012,Summer,London,Weightlifting,Super-Heavyweight,Bronze
2359,Islam-Beka Said-Tsilimovich Albiyev,M,19,165,66.0,24.24,Russia,RUS,2008,Summer,Beijing,Wrestling,"Lightweight, Greco-Roman",Gold
2389,Anatoly Mikhaylovich Albul,M,24,181,87.0,26.56,Soviet Union,URS,1960,Summer,Roma,Wrestling,"Light-Heavyweight, Freestyle",Bronze
2420,Andrs Aldama Cabrera,M,20,183,63.0,18.81,Cuba,CUB,1976,Summer,Montreal,Boxing,Light-Welterweight,Silver
2420,Andrs Aldama Cabrera,M,24,183,63.0,18.81,Cuba,CUB,1980,Summer,Moskva,Boxing,Welterweight,Gold
2469,Virgilijus Alekna,M,28,200,130.0,32.5,Lithuania,LTU,2000,Summer,Sydney,Athletics,Discus Throw,Gold
2469,Virgilijus Alekna,M,32,200,130.0,32.5,Lithuania,LTU,2004,Summer,Athina,Athletics,Discus Throw,Gold
2469,Virgilijus Alekna,M,36,200,130.0,32.5,Lithuania,LTU,2008,Summer,Beijing,Athletics,Discus Throw,Bronze
